"","Zipcodes","Inquiries","Applied","Accepted"
"214","97823",9,0,0
"215","97737",1,0,0
"216","97843",2,0,0
"217","97325",10,0,0
"218","97882",4,0,0
"219","97452",2,0,0
"220","97378",8,0,0
"221","97101",2,0,0
"222","97761",3,0,0
"223","97455",5,0,0
"224","97327",7,0,0
"225","97462",6,0,0
"226","97869",2,0,0
"227","97886",3,0,0
"228","97446",6,0,0
"229","97392",12,0,0
"230","97497",2,0,0
"231","97738",3,0,0
"232","97374",4,0,0
"233","97004",8,0,0
"234","97624",4,0,0
"235","97048",8,0,0
"236","97352",5,0,0
"237","97543",1,0,0
"238","97496",7,0,0
"239","97448",14,0,0
"240","97016",3,0,0
"241","97632",2,0,0
"242","97449",1,0,0
"243","97824",2,0,0
"244","97531",1,0,0
"245","97457",7,0,0
"246","97503",9,0,0
"247","97489",4,0,0
"248","97467",2,0,0
"249","97708",2,0,0
"250","97326",2,0,0
"251","97739",8,0,0
"252","97458",2,0,0
"253","97818",2,0,0
"254","97732",3,0,0
"255","97380",2,0,0
"256","97918",6,0,0
"257","97639",1,0,0
"258","97602",1,0,0
"259","97121",2,0,0
"260","97630",5,0,0
"261","97541",1,0,0
"262","97143",1,0,0
"263","97286",1,0,0
"264","97436",4,0,0
"265","97423",4,0,0
"266","97148",4,0,0
"267","97347",2,0,0
"268","97414",1,0,0
"269","97368",1,0,0
"270","97389",1,0,0
"271","97627",2,0,0
"272","97469",2,0,0
"273","97463",4,0,0
"274","97845",2,0,0
"275","97054",1,0,0
"276","97037",2,0,0
"277","97438",1,0,0
"278","97309",1,0,0
"279","97734",6,0,0
"280","97443",2,0,0
"281","97384",1,0,0
"282","97868",1,0,0
"283","97351",8,0,0
"284","97473",1,0,0
"285","97127",3,0,0
"286","97336",1,0,0
"287","97846",3,0,0
"288","97371",2,0,0
"289","97839",1,0,0
"290","97075",1,0,0
"291","97149",1,0,0
"292","97434",1,0,0
"293","97534",1,0,0
"294","97827",1,0,0
"295","97440",1,0,0
"296","97136",1,0,0
"297","97308",1,0,0
"298","97544",2,0,0
"299","97376",2,0,0
"300","97906",2,0,0
"301","97750",1,0,0
"302","97364",1,0,0
"303","97416",2,0,0
"304","97834",1,0,0
"305","97833",1,0,0
"306","97522",2,0,0
"307","97465",1,0,0
"308","97108",1,0,0
"309","97343",2,0,0
"310","97481",1,0,0
"311","97282",1,0,0
"312","97208",1,0,0
"313","97298",1,0,0
"314","97339",1,0,0
"315","97905",1,0,0
"316","97883",1,0,0
"317","97536",1,0,0
"318","97810",1,0,0
"319","97456",1,0,0
"320","97626",1,0,0
"321","97014",1,0,0
"322","97204",1,0,0
"323","97029",1,0,0
"324","97375",1,0,0
