"","Zipcodes","Inquiries","Applied","Accepted","Enrolled"
"308","98624",2,2,0,0
"309","98625",10,5,1,0
"310","98626",29,5,2,1
"311","98629",16,1,0,0
"312","98631",1,0,0,0
"313","98632",46,14,1,0
"314","98635",1,0,0,0
"315","98637",1,0,0,0
"316","98638",3,0,0,0
"317","98642",28,14,5,4
"318","98644",1,0,0,0
"319","98645",4,1,1,0
"320","98647",1,0,0,0
"321","98648",2,0,0,0
"322","98649",1,1,0,0
"323","98650",1,0,0,0
"324","98651",1,0,0,0
"325","98660",10,0,0,0
"326","98661",42,14,5,3
"327","98662",37,16,3,3
"328","98663",20,11,1,1
"329","98664",30,9,6,3
"330","98665",42,14,3,2
"331","98668",1,0,0,0
"332","98671",29,8,2,1
"333","98672",8,0,0,0
"334","98674",25,9,3,2
"335","98682",85,35,6,3
"336","98683",50,20,6,4
"337","98684",28,11,1,0
"338","98685",75,37,8,3
"339","98686",25,11,3,1
"340","98687",1,1,0,0
"341","98801",28,12,2,0
"342","98802",11,0,0,0
"343","98807",1,0,0,0
"344","98812",1,0,0,0
"345","98815",2,1,0,0
"346","98816",6,5,2,1
"347","98823",1,0,0,0
"348","98826",1,0,0,0
"349","98831",3,0,0,0
"350","98837",10,1,0,0
"351","98841",4,2,1,0
"352","98844",1,0,0,0
"353","98848",5,0,0,0
"354","98855",1,0,0,0
"355","98857",1,0,0,0
"356","98858",1,0,0,0
"357","98862",5,2,1,0
"358","98901",12,3,0,0
"359","98902",22,2,1,1
"360","98903",5,1,0,0
"361","98907",1,1,1,0
"362","98908",34,16,9,3
"363","98926",10,3,1,1
"364","98930",4,1,0,0
"365","98932",1,0,0,0
"366","98933",2,1,0,0
"367","98935",3,1,0,0
"368","98936",3,1,0,0
"369","98937",2,0,0,0
"370","98938",2,1,1,0
"371","98942",9,3,1,0
"372","98944",7,2,0,0
"373","98948",8,2,2,0
"374","98951",7,0,0,0
"375","98953",1,0,0,0
"376","99001",2,1,0,0
"377","99003",2,0,0,0
"378","99004",12,3,0,0
"379","99005",12,6,1,1
"380","99006",6,1,0,0
"381","99009",1,0,0,0
"382","99012",1,0,0,0
"383","99014",2,0,0,0
"384","99016",9,3,2,0
"385","99019",7,3,0,0
"386","99021",6,2,0,0
"387","99022",5,0,0,0
"388","99025",3,1,0,0
"389","99026",3,1,1,0
"390","99027",3,0,0,0
"391","99031",1,0,0,0
"392","99037",15,4,0,0
"393","99109",2,1,0,0
"394","99111",2,0,0,0
"395","99114",5,0,0,0
"396","99122",3,1,0,0
"397","99129",1,1,0,0
"398","99133",1,0,0,0
"399","99141",2,1,1,1
"400","99156",8,1,0,0
"401","99158",1,0,0,0
"402","99159",1,0,0,0
"403","99161",1,0,0,0
"404","99163",9,2,0,0
"405","99170",1,0,0,0
"406","99181",1,0,0,0
"407","99201",1,0,0,0
"408","99202",5,1,1,0
"409","99203",30,11,7,3
"410","99204",1,0,0,0
"411","99205",17,2,1,1
"412","99206",16,2,0,0
"413","99207",9,5,4,0
"414","99208",49,26,5,3
"415","99210",1,0,0,0
"416","99212",6,2,0,0
"417","99216",10,3,0,0
"418","99217",7,0,0,0
"419","99218",7,3,1,0
"420","99223",52,24,9,5
"421","99224",5,3,1,0
"422","99228",1,0,0,0
"423","99258",2,2,0,0
"424","99301",29,10,3,2
"425","99302",1,1,1,0
"426","99320",2,1,0,0
"427","99323",1,0,0,0
"428","99324",3,1,0,0
"429","99336",26,5,0,0
"430","99337",22,8,1,1
"431","99338",9,3,0,0
"432","99341",1,0,0,0
"433","99343",2,0,0,0
"434","99344",4,0,0,0
"435","99348",1,0,0,0
"436","99349",4,0,0,0
"437","99350",6,1,0,0
"438","99352",25,7,4,2
"439","99353",7,4,2,1
"440","99354",20,8,3,0
"441","99357",1,0,0,0
"442","99360",2,0,0,0
"443","99361",1,0,0,0
"444","99362",42,14,2,2
"445","99402",1,0,0,0
"446","99403",7,0,0,0
